app_id,property_id,app_date,employment_status,income,credit_score,previously_evicted,has_cosigner,approval_status,premium,monthly_rent,tenants,notes
0000140,00357,06/14/2020,Retired,129141,,No,no,Denied,5846.4,6090,3,"Renewal case."
0000339,01135,02-24-2024,Retired,227525,,No,true,approved,2572.8,2680,5,
0000664,00438,02/25/2022,Full-Time,163743,745,No,true,Approved,2805.6,3340,4,"Applicant provided pay stubs."
0001365,00557,24/04/2022,Contract,70375,687,No,No,Pending,2134.2,3557,4,"Referred by agent."
0002528,00038,"February 16, 2021",Retired,142283,,Yes,TRUE,Pending,4979.52,5187,5,"Referred by agent."
0005110,00483,2020-03-28,Self-Employed,168958,676,No,,Approved,1337.28,1592,2,"Co-signer pending review."
0008277,00386,2024-01-29,Student,98060,833,No,yes,Approved,1518,2300,2,"Flagged for manual review."
0008386,01432,09/18/2020,Unemployed,124900000,698,No,No,"Under Review",5827.2,6070,4,.
0009442,01532,03/05/2023,Full-Time,44834,656,No,No,Denied,2118.48,2716,4,"docs expired"
0010126,00207,"November 19, 2021",Retired,205761,662,No,yes,Pending,3986.4,6644,5,n/a
0012726,01738,12-25-2024,Part-Time,213156,N/A,No,No,Pending,1776.6,2115,3,"docs expired"
0013509,00200,30/11/2021,Full-Time,205434,,Yes,Y,approved,1840.74,2789,1,"Referred by agent."
0014294,00030,02/13/2023,Unemployed,231909,809,No,no,Approved,2976.96,3101,4,"Missing bank statements."
0014569,00304,04/29/2024,Unemployed,183128,798,Yes,No,Denied,1251,2085,1,"docs expired"
0014590,00071,2022-03-05,Full-Time,135994,448,No,,Pending,2827.5,3625,3,N/A
0016578,00941,2020-10-31,Full-Time,212683,654,Yes,No,Approved,2230.02,2859,3,n/a
0017022,01471,07-14-2020,Part-Time,75089,,No,no,Approved,3880.8,4620,3,"Applicant provided pay stubs."
0020568,01143,13/04/2022,Retired,242708,497,No,no,Denied,2398.08,2498,1,"Missing bank statements."
0022043,01082,04/17/2021,Part-Time,167814,722,No,no,denied,913.44,1384,3,"Flagged for manual review."
0022113,01614,"October 27, 2022",Full-Time,161093,779,No,1,Pending,6505.8,7745,1,"Co-signer pending review."
0022530,00105,27/12/2022,Unemployed,243086,811,No,N,Withdrawn,4456.92,5714,1,N/A
0022927,00858,2021-07-14,Unemployed,6344,657,No,FALSE,denied,4003.74,5133,2,"Missing bank statements."
0023053,00587,02/17/2024,Part-Time,97725,447.0,No,1,Pending,5443.2,5670,5,"Co-signer pending review."
0023531,00623,,Unemployed,59619,770,No,false,Approved,7350.72,7657,2,"Applicant follow-up needed"
0025929,01112,"December 31, 2024",Student,18094,,No,No,Pending,1285.68,1948,3,"Renewal case."
0027031,01424,2023-06-17,Student,117184,842,Yes,0,Pending,1940.64,2488,5,N/A
0028523,00863,,Contract,129953,729,No,false,Approved,828.96,1256,2,
0029155,00117,12/05/2021,Student,67801,726,No,yes,Denied,1776.06,2691,5,"Flagged for manual review."
0029469,01502,04-05-2020,Retired,205970,717,No,No,Approved,1761,2935,1,N/A
0031153,01426,2023-12-11,Retired,239937,552,No,0,Approved,6846.72,7132,5,"Missing bank statements."
0032569,00960,26/06/2021,Unemployed,135402,659,No,N,Denied,1281.06,1941,2,
0033505,01374,08/03/2022,Student,123900000,718,Yes,No,Denied,2250.6,3751,5,"Renewal case."
0039831,00786,"April 30, 2024",PT,182546,,No,,Withdrawn,1992.48,2372,4,n/a
0040594,01486,07/05/2022,Part-Time,196804,831,No,false,Pending,3932.16,4096,2,"Co-signer pending review."
0040885,00542,11-16-2024,Retired,79240,730,Yes,true,Pending,1566.6,1865,3,"Missing bank statements."
0042664,00690,2020-12-12,Unemployed,73906,632,No,No,Withdrawn,1048.32,1344,2,"Missing bank statements."
0042801,01301,06/21/2022,Student,88287,587.0,No,TRUE,Denied,1393.92,2112,5,
0042852,00635,07-09-2023,Student,184446,679,No,0,Approved,4816.32,5017,2,.
0045209,01679,04-20-2020,Student,155017,628,Yes,FALSE,Withdrawn,3724.56,4434,4,
0045214,00745,2022-09-30,Unemployed,184947,773,No,yes,Approved,3454.44,5234,3,"Referred by agent."
0047538,00138,07/03/2020,Student,222971,759.0,No,no,Approved,2119.68,2208,2,"Applicant provided pay stubs."
0048883,00151,2020-07-15,Full-Time,196831,840,No,FALSE,Approved,2521.86,0,3,"Applicant provided pay stubs."
0049499,00431,"November 03, 2023",Self-Employed,88403,358,No,No,Approved,2804.1,3595,1,"Applicant follow-up needed"
0050504,00478,10/09/2024,Contract,48496,N/A,No,TRUE,"Under Review",2903.04,3024,1,
0050983,01624,"May 13, 2024","Self Employed",69518,584,No,FALSE,Approved,2680.26,4061,3,n/a
0053482,01052,04/17/2020,Full-Time,161542,633,Yes,,Approved,2710.5,0,3,N/A
0056224,01335,06-10-2023,Student,155101,685,No,FALSE,Pending,6277.32,7473,5,"Applicant follow-up needed"
0058428,00177,05/09/2023,Retired,220104,779,No,no,Withdrawn,1509.12,1572,1,
0058625,00835,06-25-2022,Part-Time,128630,591,No,1,Denied,2509.08,2987,2,.
0060529,01755,02-04-2023,Part-Time,41338,834,Yes,FALSE,Approved,1681.2,2802,5,
0064113,00317,11/22/2022,Self-Employed,62462,693,No,1,Denied,2854.08,2973,1,
0065031,00566,28/08/2021,Unemployed,115814,654,No,false,Approved,1177.8,1510,2,n/a
0066941,00395,08/23/2021,Contract,190401,733,No,Yes,Denied,2486.4,4144,5,"Flagged for manual review."
0068766,01461,05-29-2022,Retired,41771,705.0,Yes,,Approved,3621.12,3772,1,"Applicant provided pay stubs."
0070981,00212,07/23/2023,Retired,269787,617,No,Y,"Under Review",1713.6,1785,4,
0071141,01637,2020-09-05,Unemployed,242263,693,Yes,FALSE,Approved,2810.4,4684,1,
0071283,00571,13/08/2022,Retired,31211,725,No,,Denied,1703.46,2581,2,
0071327,01218,02/21/2020,Contract,229294,782,No,false,Approved,4985.64,7554,4,.
0071917,01380,2023-08-23,Self-Employed,169250,808,No,yes,Approved,8010.24,8344,1,
0071995,00478,10/18/2021,Self-Employed,249012,611,No,0,Approved,1814.4,3024,4,N/A
0072021,00122,2023-10-26,Student,66703,662,No,Yes,Approved,1247.4,1485,2,"Referred by agent."
0072452,00843,"August 20, 2021",Full-Time,96593,697,Yes,TRUE,Withdrawn,1117.74,1433,5,N/A
0077457,01135,01/04/2020,Retired,158915,696,No,FALSE,Approved,2251.2,2680,5,
0077536,01622,01/27/2024,Retired,98912,478,No,TRUE,Approved,1770.78,2683,3,"Applicant provided pay stubs."
0077608,00938,2022-11-06,Retired,157949,788,No,Y,Approved,3348,5580,2,"Renewal case."
0078835,00135,2022-07-06,Part-Time,38929,731,Yes,true,Withdrawn,1298.64,1546,2,"Missing bank statements."
0078900,01277,01/11/2022,Part-Time,132759,624,No,N,Pending,1163.52,1212,3,
0079698,01626,,Part-Time,129683,808,Yes,1,Approved,3760.68,4477,3,"Co-signer pending review."
0080054,01108,"January 02, 2023",Retired,67982,630.0,No,N,Approved,1906.8,2270,5,"Renewal case."
0084952,00183,09/16/2024,Full-Time,126775,732,No,No,pending,6460.44,7691,2,"income verified via Plaid"
0085446,01300,2023-12-12,Unemployed,225455,646,No,Y,"Under Review",3037.44,3616,5,"Flagged for manual review."
0085917,01054,18/04/2023,Student,88348,656,No,N,Pending,2042.88,2128,5,"Referred by agent."
