,app_id,property_id,app_date,employment_status,income,credit_score,previously_evicted,has_cosigner,approval_status,premium,monthly_rent,tenants,notes
0,140,357,2020-06-14,Retired,129141,,No,No,Denied,5846.4,6090,3,Renewal case.
1,339,1135,2024-02-24,Retired,227525,,No,Yes,Approved,2572.8,2680,5,
2,664,438,2022-02-25,Full-Time,163743,745.0,No,Yes,Approved,2805.6,3340,4,Applicant provided pay stubs.
3,1365,557,2022-04-24,Contract,70375,687.0,No,No,Pending,2134.2,3557,4,Referred by agent.
4,2528,38,2021-02-16,Retired,142283,,Yes,Yes,Pending,4979.52,5187,5,Referred by agent.
5,5110,483,2020-03-28,Self-Employed,168958,676.0,No,No,Approved,1337.28,1592,2,Co-signer pending review.
6,8277,386,2024-01-29,Student,98060,833.0,No,Yes,Approved,1518.0,2300,2,Flagged for manual review.
7,8386,1432,2020-09-18,Unemployed,124900,698.0,No,No,Under Review,5827.2,6070,4,.
8,9442,1532,2023-03-05,Full-Time,44834,656.0,No,No,Denied,2118.48,2716,4,docs expired
9,10126,207,2021-11-19,Retired,205761,662.0,No,Yes,Pending,3986.4,6644,5,
10,12726,1738,2024-12-25,Part-Time,213156,,No,No,Pending,1776.6,2115,3,docs expired
11,13509,200,2021-11-30,Full-Time,205434,,Yes,Yes,Approved,1840.74,2789,1,Referred by agent.
12,14294,30,2023-02-13,Unemployed,231909,809.0,No,No,Approved,2976.96,3101,4,Missing bank statements.
13,14569,304,2024-04-29,Unemployed,183128,798.0,Yes,No,Denied,1251.0,2085,1,docs expired
14,14590,71,2022-03-05,Full-Time,135994,448.0,No,No,Pending,2827.5,3625,3,
15,16578,941,2020-10-31,Full-Time,212683,654.0,Yes,No,Approved,2230.02,2859,3,
16,17022,1471,2020-07-14,Part-Time,75089,,No,No,Approved,3880.8,4620,3,Applicant provided pay stubs.
17,20568,1143,2022-04-13,Retired,242708,497.0,No,No,Denied,2398.08,2498,1,Missing bank statements.
18,22043,1082,2021-04-17,Part-Time,167814,722.0,No,No,Denied,913.44,1384,3,Flagged for manual review.
19,22113,1614,2022-10-27,Full-Time,161093,779.0,No,Yes,Pending,6505.8,7745,1,Co-signer pending review.
20,22530,105,2022-12-27,Unemployed,243086,811.0,No,No,Withdrawn,4456.92,5714,1,
21,22927,858,2021-07-14,Unemployed,6344,657.0,No,No,Denied,4003.74,5133,2,Missing bank statements.
22,23053,587,2024-02-17,Part-Time,97725,447.0,No,Yes,Pending,5443.2,5670,5,Co-signer pending review.
23,23531,623,,Unemployed,59619,770.0,No,No,Approved,7350.72,7657,2,Applicant follow-up needed
24,25929,1112,2024-12-31,Student,18094,,No,No,Pending,1285.68,1948,3,Renewal case.
25,27031,1424,2023-06-17,Student,117184,842.0,Yes,No,Pending,1940.64,2488,5,
26,28523,863,,Contract,129953,729.0,No,No,Approved,828.96,1256,2,
27,29155,117,2021-12-05,Student,67801,726.0,No,Yes,Denied,1776.06,2691,5,Flagged for manual review.
28,29469,1502,2020-04-05,Retired,205970,717.0,No,No,Approved,1761.0,2935,1,
29,31153,1426,2023-12-11,Retired,239937,552.0,No,No,Approved,6846.72,7132,5,Missing bank statements.
30,32569,960,2021-06-26,Unemployed,135402,659.0,No,No,Denied,1281.06,1941,2,
31,33505,1374,2022-08-03,Student,123900,718.0,Yes,No,Denied,2250.6,3751,5,Renewal case.
32,39831,786,2024-04-30,Part-Time,182546,,No,No,Withdrawn,1992.48,2372,4,
33,40594,1486,2022-07-05,Part-Time,196804,831.0,No,No,Pending,3932.16,4096,2,Co-signer pending review.
34,40885,542,2024-11-16,Retired,79240,730.0,Yes,Yes,Pending,1566.6,1865,3,Missing bank statements.
35,42664,690,2020-12-12,Unemployed,73906,632.0,No,No,Withdrawn,1048.32,1344,2,Missing bank statements.
36,42801,1301,2022-06-21,Student,88287,587.0,No,Yes,Denied,1393.92,2112,5,
37,42852,635,2023-07-09,Student,184446,679.0,No,No,Approved,4816.32,5017,2,.
38,45209,1679,2020-04-20,Student,155017,628.0,Yes,No,Withdrawn,3724.56,4434,4,
39,45214,745,2022-09-30,Unemployed,184947,773.0,No,Yes,Approved,3454.44,5234,3,Referred by agent.
40,47538,138,2020-07-03,Student,222971,759.0,No,No,Approved,2119.68,2208,2,Applicant provided pay stubs.
41,48883,151,2020-07-15,Full-Time,196831,840.0,No,No,Approved,2521.86,0,3,Applicant provided pay stubs.
42,49499,431,2023-11-03,Self-Employed,88403,358.0,No,No,Approved,2804.1,3595,1,Applicant follow-up needed
43,50504,478,2024-10-09,Contract,48496,,No,Yes,Under Review,2903.04,3024,1,
44,50983,1624,2024-05-13,Self-Employed,69518,584.0,No,No,Approved,2680.26,4061,3,
45,53482,1052,2020-04-17,Full-Time,161542,633.0,Yes,No,Approved,2710.5,0,3,
46,56224,1335,2023-06-10,Student,155101,685.0,No,No,Pending,6277.32,7473,5,Applicant follow-up needed
