app_id,property_id,app_date,employment_status,income,credit_score,previously_evicted,has_cosigner,approval_status,premium,monthly_rent,tenants,notes
00140,0357,2020-06-14,Retired,129141,,No,No,Denied,5846.40,6090,3,Renewal case.
00339,1135,2024-02-24,Retired,227525,,No,Yes,Approved,2572.80,2680,5,
00664,0438,2022-02-25,Full-Time,163743,745,No,Yes,Approved,2805.60,3340,4,Applicant provided pay stubs.
01365,0557,24/04/2022,Contract,70375,687,No,No,Pending,2134.20,3557,4,Referred by agent.
02528,0038,2021-02-16,Retired,142283,,Yes,Yes,Pending,4979.52,5187,5,Referred by agent.
05110,0483,2020-03-28,Self-Employed,168958,676,No,No,Approved,1337.28,1592,2,Co-signer pending review.
08277,0386,2024-01-29,Student,98060,833,No,Yes,Approved,1518.00,2300,2,Flagged for manual review.
08386,1432,2020-09-18,Unemployed,124900,698,No,No,Under Review,5827.20,6070,4,.
09442,1532,2023-03-05,Full-Time,44834,656,No,No,Denied,2118.48,2716,4,docs expired
10126,0207,2021-11-19,Retired,205761,662,No,Yes,Pending,3986.40,6644,5,n/a
12726,1738,2024-12-25,Part-Time,213156,N/A,No,No,Pending,1776.60,2115,3,docs expired
13509,0200,30/11/2021,Full-Time,205434,,Yes,Yes,Approved,1840.74,2789,1,Referred by agent.
14294,0030,2023-02-13,Unemployed,231909,809,No,No,Approved,2976.96,3101,4,Missing bank statements.
14569,0304,2024-04-29,Unemployed,183128,798,Yes,No,Denied,1251.00,2085,1,docs expired
14590,0071,2022-03-05,Full-Time,135994,448,No,No,Pending,2827.50,3625,3,N/A
16578,0941,2020-10-31,Full-Time,212683,654,Yes,No,Approved,2230.02,2859,3,n/a
17022,1471,2020-07-14,Part-Time,75089,,No,No,Approved,3880.80,4620,3,Applicant provided pay stubs.
20568,1143,13/04/2022,Retired,242708,497,No,No,Denied,2398.08,2498,1,Missing bank statements.
22043,1082,2021-04-17,Part-Time,167814,722,No,No,Denied,913.44,1384,3,Flagged for manual review.
22113,1614,2022-10-27,Full-Time,161093,779,No,Yes,Pending,6505.80,7745,1,Co-signer pending review.
22530,0105,27/12/2022,Unemployed,243086,811,No,No,Withdrawn,4456.92,5714,1,N/A
22927,0858,2021-07-14,Unemployed,6344,657,No,No,Denied,4003.74,5133,2,Missing bank statements.
23053,0587,2024-02-17,Part-Time,97725,447,No,Yes,Pending,5443.20,5670,5,Co-signer pending review.
23531,0623,,Unemployed,59619,770,No,No,Approved,7350.72,7657,2,Applicant follow-up needed
25929,1112,2024-12-31,Student,18094,,No,No,Pending,1285.68,1948,3,Renewal case.
27031,1424,2023-06-17,Student,117184,842,Yes,No,Pending,1940.64,2488,5,N/A
28523,0863,,Contract,129953,729,No,No,Approved,828.96,1256,2,
29155,0117,2021-12-05,Student,67801,726,No,Yes,Denied,1776.06,2691,5,Flagged for manual review.
29469,1502,2020-04-05,Retired,205970,717,No,No,Approved,1761.00,2935,1,N/A
31153,1426,2023-12-11,Retired,239937,552,No,No,Approved,6846.72,7132,5,Missing bank statements.
32569,0960,26/06/2021,Unemployed,135402,659,No,No,Denied,1281.06,1941,2,
33505,1374,2022-08-03,Student,123900,718,Yes,No,Denied,2250.60,3751,5,Renewal case.
39831,0786,2024-04-30,Part-Time,182546,,No,No,Withdrawn,1992.48,2372,4,n/a
40594,1486,2022-07-05,Part-Time,196804,831,No,No,Pending,3932.16,4096,2,Co-signer pending review.
40885,0542,2024-11-16,Retired,79240,730,Yes,Yes,Pending,1566.60,1865,3,Missing bank statements.
42664,0690,2020-12-12,Unemployed,73906,632,No,No,Withdrawn,1048.32,1344,2,Missing bank statements.
42801,1301,2022-06-21,Student,88287,587,No,Yes,Denied,1393.92,2112,5,
42852,0635,2023-07-09,Student,184446,679,No,No,Approved,4816.32,5017,2,.
45209,1679,2020-04-20,Student,155017,628,Yes,No,Withdrawn,3724.56,4434,4,
45214,0745,2022-09-30,Unemployed,184947,773,No,Yes,Approved,3454.44,5234,3,Referred by agent.
47538,0138,2020-07-03,Student,222971,759,No,No,Approved,2119.68,2208,2,Applicant provided pay stubs.
48883,0151,2020-07-15,Full-Time,196831,840,No,No,Approved,2521.86,0,3,Applicant provided pay stubs.
49499,0431,2023-11-03,Self-Employed,88403,358,No,No,Approved,2804.10,3595,1,Applicant follow-up needed
50504,0478,2024-10-09,Contract,48496,N/A,No,Yes,Under Review,2903.04,3024,1,
50983,1624,2024-05-13,Self-Employed,69518,584,No,No,Approved,2680.26,4061,3,n/a
53482,1052,2020-04-17,Full-Time,161542,633,Yes,No,Approved,2710.50,0,3,N/A
56224,1335,2023-06-10,Student,155101,685,No,No,Pending,6277.32,7473,5,Applicant follow-up needed
58428,0177,2023-05-09,Retired,220104,779,No,No,Withdrawn,1509.12,1572,1,
58625,0835,2022-06-25,Part-Time,128630,591,No,Yes,Denied,2509.08,2987,2,.
60529,1755,2023-02-04,Part-Time,41338,834,Yes,No,Approved,1681.20,2802,5,
64113,0317,2022-11-22,Self-Employed,62462,693,No,Yes,Denied,2854.08,2973,1,
65031,0566,28/08/2021,Unemployed,115814,654,No,No,Approved,1177.80,1510,2,n/a
66941,0395,2021-08-23,Contract,190401,733,No,Yes,Denied,2486.40,4144,5,Flagged for manual review.
68766,1461,2022-05-29,Retired,41771,705,Yes,No,Approved,3621.12,3772,1,Applicant provided pay stubs.
70981,0212,2023-07-23,Retired,269787,617,No,Yes,Under Review,1713.60,1785,4,
71141,1637,2020-09-05,Unemployed,242263,693,Yes,No,Approved,2810.40,4684,1,
71283,0571,13/08/2022,Retired,31211,725,No,No,Denied,1703.46,2581,2,
71327,1218,2020-02-21,Contract,229294,782,No,No,Approved,4985.64,7554,4,.
71917,1380,2023-08-23,Self-Employed,169250,808,No,Yes,Approved,8010.24,8344,1,
71995,0478,2021-10-18,Self-Employed,249012,611,No,No,Approved,1814.40,3024,4,N/A
72021,0122,2023-10-26,Student,66703,662,No,Yes,Approved,1247.40,1485,2,Referred by agent.
