property_id,city,state,zip,unit_type,monthly_rent,landlord_type,lease_length
00001,Washington,DC,200XX,Studio,851,LLC,"6 months"
00002,Chicago,IL,60614,3BR,3081,LLC,"6 months"
00003,Nashville,TN,37201,1BR,1426,Corporate,"12 months"
00004,Nashville,TN,37206,2BR,1731,LLC,"12 months"
00005,"Los Angeles",CA,90036,4BR+,3898,Individual,"12 months"
00007,Cambridge,MA,02139,2BR,2586,LLC,"12 months"
00008,Seattle,WA,98103,3BR,8826,Individual,"24 months"
00009,Scottsdale,AZ,85251,1BR,1641,Individual,"12 months"
00010,Houston,TX,77001,studio,2937,Corporate,"6 months"
00011,Chicago,IL,60614,3BR,5995,REIT,"18 months"
00012,Chicago,IL,60614,Studio,1840,LLC,"12 months"
00014,Atlanta,GA,30301,Studio,2167,REIT,"12 months"
00015,"New York",NY,10003,Studio,2224,Corporate,"6 months"
00016,Boston,MA,02115,1BR,2122,Corporate,"24 months"
00017,Miami,FL,33101,2BR,3166,Individual,"24 months"
00018,Atlanta,GA,30308,2BR,2669,REIT,"18 months"
00019,Nashville,TN,37206,1BR,2866,"Property Management Co","18 months"
00020,"New York",NY,10001,2BR,5040,LLC,"12 months"
00021,Chicago,IL,60601,Studio,894,Individual,"18 months"
00022,"San Antonio",TX,78201,Studio,1941,"Property Management Co","24 months"
00023,"Fort Lauderdale",FL,33301,4BR+,3634,REIT,"12 months"
00024,"San Francisco",CA,94110,Studio,2968,,"12 months"
00025,"Los Angeles",CA,90036,4BR+,7623,REIT,"24 months"
00026,Atlanta,GA,30308,Studio,1516,REIT,"24 months"
00027,"Los Angeles",CA,90025,1BR,1542,LLC,"12 months"
00028,Nashville,TN,37201,2BR,4252,REIT,"24 months"
00029,"San Francisco",CA,94110,2BR,2931,LLC,"12 months"
00030,Queens,NY,11101,1BR,3101,LLC,"12 months"
00032,Atlanta,GA,303XX,1BR,1286,"Property Management Co","24 months"
00033,Nashville,TN,37206,Studio,1110,"Property Management Co","6 months"
00034,Houston,TX,77019,1BR,1432,Corporate,"12 months"
00035,Austin,TX,78701,Studio,1915,REIT,"12 months"
00037,Bellevue,WA,98004,Studio,1129,Individual,"18 months"
00038,Cambridge,MA,02139,4BR+,5187,Individual,"12 months"
00039,Scottsdale,AZ,85251,2BR,3301,"Property Management Co","12 months"
00040,"San Francisco",CA,94110,4BR+,11118,"Property Management Co","24 months"
00041,Arlington,VA,22201,1BR,1251,REIT,"12 months"
00042,Nashville,TN,37206,4BR+,6997,Individual,"6 months"
00043,Seattle,WA,98101,2BR,3294,REIT,"12 months"
00044,Nashville,TN,37206,4BR+,7813,REIT,"6 months"
00045,"San Francisco",CA,94102,Studio,3061,Individual,"12 months"
00046,Queens,NY,11101,2BR,2319,REIT,"12 months"
00048,Washington,DC,20009,3BR,2772,"Property Management Co","12 months"
00049,Washington,DC,20001,3BR,3717,"Property Management Co","6 months"
00050,Brooklyn,NY,11201,2BR,5868,Corporate,"12 months"
00051,"New York",NY,10001,2BR,2496,Individual,"6 months"
00052,Brooklyn,NY,11201,3BR,3963,LLC,"24 months"
00053,"Los Angeles",CA,90025,4BR+,4871,Individual,"12 months"
00054,"Los Angeles",CA,90036,4BR+,6365,"Property Management Co","12 months"
00056,Chicago,IL,60614,2BR,3924,LLC,"18 months"
00057,Scottsdale,AZ,85251,4BR+,6237,Corporate,"24 months"
00058,Boston,MA,02115,Studio,1613,LLC,"6 months"
00059,Miami,FL,33101,3BR,2522,Corporate,"12 months"
00060,Arlington,VA,22201,Studio,1162,LLC,"6 months"
00061,Brooklyn,NY,11201,2BR,6360,"Property Management Co","12 months"
00062,Queens,NY,11101,4BR+,6586,REIT,"12 months"
00063,Nashville,TN,37201,4BR+,8436,LLC,"12 months"
00064,Seattle,WA,98103,1BR,3748,LLC,"12 months"
00065,Austin,TX,78704,Studio,1641,LLC,"18 months"
00066,Atlanta,GA,30301,3BR,2766,LLC,"12 months"
00067,"New York",NY,10002,3BR,5596,"Property Management Co","18 months"
00070,Miami,FL,33130,Studio,1531,"Property Management Co","12 months"
00071,"New York",NY,100XX,2BR,3625,REIT,"12 months"
00072,Boston,MA,02101,1BR,3137,"Property Management Co","12 months"
00073,"New York",NY,10003,2BR,4086,Individual,"18 months"
00074,"New York",NY,10003,4BR+,9954,LLC,"18 months"
00075,Seattle,WA,98101,3BR,8539,REIT,"12 months"
00077,Arlington,VA,22201,Studio,1721,Corporate,"18 months"
00078,Seattle,WA,98101,Studio,1969,LLC,"18 months"
00079,Miami,FL,33130,1BR,2806,"Property Management Co","24 months"
00080,Bellevue,WA,98004,2BR,3117,Corporate,"12 months"
00082,Cambridge,MA,02139,3BR,2409,Individual,"12 months"
00083,Oakland,CA,94601,4BR+,3318,REIT,"18 months"
00084,Seattle,WA,98103,3BR,7438,"Property Management Co","12 months"
00085,Chicago,IL,60601,1BR,1550,Corporate,"12 months"
00086,"San Antonio",TX,78201,4BR+,8269,"Property Management Co","12 months"
00087,"Los Angeles",CA,90025,4BR+,5827,LLC,"18 months"
00088,"San Francisco",CA,94110,1BR,1960,"Property Management Co","24 months"
00089,Brooklyn,NY,11201,Studio,3202,Individual,"24 months"
00090,Atlanta,GA,,4BR+,5235,LLC,"12 months"
00092,Seattle,WA,98103,Studio,3162,Corporate,"6 months"
00093,Atlanta,GA,30301,3BR,5957,Individual,"18 months"
00095,Arlington,VA,22201,3BR,5761,Individual,"12 months"
00097,Miami,FL,33101,Studio,1623,Corporate,"12 months"
00098,"Fort Lauderdale",FL,33301,Studio,1940,Corporate,"6 months"
00099,Decatur,GA,30030,3BR,3194,Corporate,"12 months"
00100,Houston,TX,77019,2BR,2467,REIT,"24 months"
00101,Phoenix,AZ,85001,2BR,2881,Corporate,"12 months"
00102,Arlington,VA,22201,"1 bed",2893,Corporate,"12 months"
00104,Atlanta,GA,30301,2BR,3225,"Property Management Co","6 months"
00106,Houston,TX,77019,4BR+,4330,Individual,"18 months"
00107,Oakland,CA,94601,3BR,3319,REIT,"12 months"
00108,Bellevue,WA,98004,2BR,1621,LLC,"6 months"
00109,Decatur,GA,30030,1BR,1794,"Property Management Co","6 months"
00110,Denver,CO,80205,2BR,2949,REIT,"12 months"
00111,Denver,CO,80201,2BR,2066,"Property Management Co","24 months"
00112,Chicago,IL,60601,3BR,4649,Corporate,"18 months"
00113,Arlington,VA,22201,3BR,2243,REIT,"6 months"
00114,"Los Angeles",CA,90025,"2 bed",2377,Corporate,"12 months"
00115,Decatur,"GA ",30030,3BR,4779,Individual,"12 months"
00116,"Los Angeles",CA,90025,2BR,3761,Individual,"12 months"
00117,Cambridge,MA,02139,1BR,2691,"Property Management Co","12 months"
00118,Decatur,GA,300XX,4BR+,7028,"Property Management Co","6 months"
00119,"Fort Lauderdale",FL,33301,4BR+,4790,Corporate,"18 months"
00120,Washington,DC,20009,3BR,5532,Individual,"12 months"
00121,Portland,OR,97201,1BR,1699,LLC,"12 months"
