Policy_ID,Applicant_ID,Coverage_Amount,Decision,Property_Type,Application_Date
POL-200000,TG-108384,,Pending,Condo,2024-10-16
POL-200001,TG-104565,6974.0, approved ,Condo,2023-04-25
POL-200002,TG-108684,22309.0, approved ,Apartment,2023-01-26
POL-200003,TG-105196,12177.0,Denied,Apartment,2025-01-29
POL-200004,TG-105881,12377.0,Pending,Townhouse,2023-10-09
POL-200005,TG-102226,22535.0,Denied,Apartment,2023-09-08
POL-200006,TG-106790,18465.0,Denied,Townhouse,2023-08-17
POL-200007,TG-100786,14552.0,Denied,Apartment,2023-05-23
POL-200008,TG-108557,7344.0,Denied,Townhouse,2025-01-24
POL-200009,TG-105396,13252.0,Pending,Townhouse,2023-04-15
POL-200010,TG-107921,20224.0,Denied,Condo,2024-11-23
POL-200011,TG-103883,20032.0,Denied, apartment ,2025-01-28
POL-200012,TG-106335,7075.0,Denied, apartment ,2024-07-12
POL-200013,TG-106035,7451.0, approved ,Condo,2023-03-31
POL-200014,TG-101155,11181.0, approved , apartment ,2024-08-27
POL-200015,TG-107129,18196.0, approved ,Condo,2024-03-08
POL-200016,TG-104414,21991.0, approved ,Townhouse,2023-02-02
POL-200017,TG-108061,15127.0,Denied, apartment ,2023-01-31
POL-200018,TG-104005,10715.0, approved ,Condo,2023-04-06
POL-200019,TG-102300,7570.0,Approved, apartment ,2023-08-12
POL-200020,TG-108017,7968.0,Pending,Condo,2023-08-27
POL-200021,TG-109217,22516.0,Denied, apartment ,2024-06-01
POL-200022,TG-102424,23467.0,Denied,Townhouse,2024-09-08
POL-200023,TG-105324,5237.0,Denied,Condo,2023-01-28
POL-200024,TG-101996,14900.0,Pending,Condo,2024-07-28
POL-200025,TG-108992,,Pending,Apartment,2023-07-23
POL-200026,TG-103246,13866.0,Approved, apartment ,2025-01-03
POL-200027,TG-103335,5641.0, approved ,Apartment,2024-10-27
POL-200028,TG-109576,22841.0,Approved,Apartment,2024-12-19
POL-200029,TG-100815,13730.0,Denied,Condo,2024-07-12
POL-200030,TG-104079,10041.0,Denied,Townhouse,2024-03-05
POL-200031,TG-106795,7595.0, approved ,Condo,2023-08-14
POL-200032,TG-100674,, approved ,Condo,2024-04-04
POL-200033,TG-100543,22283.0, approved ,Condo,2024-08-26
POL-200034,TG-104779,6729.0,Denied, apartment ,2023-10-12
POL-200035,,9808.0,Denied,Townhouse,2025-04-08
POL-200036,TG-107344,10185.0,Denied,Apartment,2025-06-09
POL-200037,TG-106375,13375.0, approved , apartment ,2023-01-07
POL-200038,TG-101470,10629.0,Denied,Townhouse,2025-02-16
POL-200039,TG-103576,5265.0,Denied,Apartment,2025-04-05
POL-200040,TG-109038,23855.0, approved ,Townhouse,2023-06-13
POL-200041,TG-109221,24768.0,Approved,Condo,2024-12-15
POL-200042,TG-104363,7908.0, approved ,Townhouse,2024-03-08
POL-200043,TG-104641,20122.0,Denied,Condo,2023-12-15
POL-200044,TG-103618,11127.0,Approved, apartment ,2023-10-12
POL-200045,TG-109926,20596.0, approved ,Condo,2023-06-09
POL-200046,TG-107527,23071.0, approved , apartment ,2023-08-09
POL-200047,TG-101482,5479.0,Pending, apartment ,2025-02-20
POL-200048,TG-105472,10930.0,Denied,Townhouse,2023-12-11
POL-200049,TG-103820,20948.0,Denied,Townhouse,2023-04-15
